replicate,L,M,N,method,wall_time_s,memory_bytes,success
1,4,100,1,avg,0.000245336,100272,true
2,4,100,1,avg,8.0922e-05,100272,true
1,4,100,1,bayes,0.000148663,76656,true
2,4,100,1,bayes,7.3916e-05,76656,true
1,4,100,1,elo,0.000167599,8368,true
2,4,100,1,elo,7.8017e-05,8368,true
1,4,100,1,bradley_terry,0.000570379,103856,true
2,4,100,1,bradley_terry,0.000114491,83504,true
1,4,100,1,rasch,0.060328126,37535608,true
2,4,100,1,rasch,0.065093507,37513544,true
1,4,100,1,borda,0.000327489,50104,true
2,4,100,1,borda,4.4287e-05,50104,true
1,4,100,1,pagerank,0.000175117,14208,true
2,4,100,1,pagerank,4.225e-05,14496,true
1,4,100,1,alpharank,0.000343112,108896,true
2,4,100,1,alpharank,0.000121267,115808,true
1,4,100,1,plackett_luce,0.000114372,34272,true
2,4,100,1,plackett_luce,4.2358e-05,30816,true
1,4,100,1,kemeny_young,0.06525681,753400,true
2,4,100,1,kemeny_young,0.088132723,753400,true
1,4,100,4,avg,0.000194984,194480,true
2,4,100,4,avg,9.7246e-05,194480,true
1,4,100,4,bayes,7.874e-05,114608,true
2,4,100,4,bayes,7.1697e-05,114608,true
1,4,100,4,elo,0.000112164,27568,true
2,4,100,4,elo,0.000103276,27568,true
1,4,100,4,bradley_terry,0.000134624,153392,true
2,4,100,4,bradley_terry,0.000187786,241904,true
1,4,100,4,rasch,0.02209948,37885768,true
2,4,100,4,rasch,0.022380502,37885768,true
1,4,100,4,borda,0.000251386,69304,true
2,4,100,4,borda,7.2372e-05,69304,true
1,4,100,4,pagerank,9.4458e-05,33408,true
2,4,100,4,pagerank,5.9953e-05,33408,true
1,4,100,4,alpharank,0.000191591,139040,true
2,4,100,4,alpharank,0.000130919,128864,true
1,4,100,4,plackett_luce,7.8806e-05,39936,true
2,4,100,4,plackett_luce,7.8019e-05,42240,true
1,4,100,4,kemeny_young,0.076633223,772600,true
2,4,100,4,kemeny_young,0.075877486,772600,true
1,4,500,1,avg,0.000282266,444816,true
2,4,500,1,avg,0.000153683,444816,true
1,4,500,1,bayes,0.000131712,344976,true
2,4,500,1,bayes,0.000132191,344976,true
1,4,500,1,elo,0.000171754,33968,true
2,4,500,1,elo,0.000173911,33968,true
1,4,500,1,bradley_terry,0.000345468,229680,true
2,4,500,1,bradley_terry,0.0004013,179184,true
1,4,500,1,rasch,0.672361056,854361360,true
2,4,500,1,rasch,0.596765654,854361360,true
1,4,500,1,borda,0.000185793,242104,true
2,4,500,1,borda,0.000127747,242104,true
1,4,500,1,pagerank,9.4162e-05,39808,true
2,4,500,1,pagerank,0.000104876,39808,true
