seed,n,method,kendall_tau_b_to_reference,top1_match,top3_set_match,n_adjacent_ties,mean_adjacent_score_gap
1,1,avg,1,1,1,0,0.055
1,1,bayes,1,1,1,0,0.01833333333
1,1,pass_at_k_4capn,1,1,1,0,0.055
1,1,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.055
1,1,mg_pass_at_k_4capn,NaN,0,0,10,0
1,1,elo,0.7454545455,0,0,0,47.08022947
1,1,bradley_terry_davidson,1,1,1,0,0.3810491092
1,1,rasch,1,1,1,0,0.267959587
1,1,borda,1,1,1,0,151.25
1,1,pagerank,1,1,1,0,0.004198736193
1,2,avg,1,1,1,0,0.0567
1,2,bayes,1,1,1,0,0.02835
1,2,pass_at_k_4capn,0.9636363636,1,1,0,0.0556
1,2,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0578
1,2,mg_pass_at_k_4capn,1,1,1,0,0.0578
1,2,elo,0.6,0,0,0,44.69077644
1,2,bradley_terry_davidson,1,1,1,0,0.3928053087
1,2,rasch,1,1,1,0,0.2818222989
1,2,borda,1,1,1,0,224.1
1,2,pagerank,1,1,1,0,0.00431577347
1,4,avg,1,1,1,0,0.05725
1,4,bayes,1,1,1,0,0.03816666667
1,4,pass_at_k_4capn,1,1,1,0,0.0416
1,4,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0746
1,4,mg_pass_at_k_4capn,1,1,1,0,0.0591
1,4,elo,0.4181818182,0,0,0,38.64734529
1,4,bradley_terry_davidson,1,1,1,0,0.4024687207
1,4,rasch,1,1,1,0,0.2900887925
1,4,borda,1,1,1,0,298
1,4,pagerank,1,1,1,0,0.00435933175
1,8,avg,1,1,1,0,0.057675
1,8,bayes,1,1,1,0,0.04614
1,8,pass_at_k_4capn,1,1,1,0,0.04198
1,8,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07208285714
1,8,mg_pass_at_k_4capn,1,1,1,0,0.05926571429
1,8,elo,0.7090909091,0,0,0,55.18373063
1,8,bradley_terry_davidson,1,1,1,0,0.4193785349
1,8,rasch,1,1,1,0,0.2971744838
1,8,borda,1,1,1,0,362.65
1,8,pagerank,1,1,1,0,0.004379523884
1,16,avg,1,1,1,0,0.0574
1,16,bayes,1,1,1,0,0.05102222222
1,16,pass_at_k_4capn,1,1,1,0,0.04244197802
1,16,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07119450549
1,16,mg_pass_at_k_4capn,1,1,1,0,0.05864412088
1,16,elo,0.4181818182,0,0,0,33.70140504
1,16,bradley_terry_davidson,1,1,1,0,0.409147666
1,16,rasch,1,1,1,0,0.2969889502
1,16,borda,1,1,1,0,402.65
1,16,pagerank,1,1,1,0,0.004359858106
1,32,avg,1,1,1,0,0.05675625
1,32,bayes,1,1,1,0,0.05341764706
1,32,pass_at_k_4capn,1,1,1,0,0.0418181535
1,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07062687987
1,32,mg_pass_at_k_4capn,1,1,1,0,0.05812516963
1,32,elo,0.2363636364,0,0,0,37.02348314
1,32,bradley_terry_davidson,1,1,1,0,0.4010243701
1,32,rasch,1,1,1,0,0.2942566682
1,32,borda,1,1,1,0,431.2
1,32,pagerank,1,1,1,0,0.004307177681
2,1,avg,0.9636363636,1,1,0,0.0614
2,1,bayes,0.9636363636,1,1,0,0.02046666667
2,1,pass_at_k_4capn,0.9636363636,1,1,0,0.0614
2,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0614
2,1,mg_pass_at_k_4capn,NaN,0,0,10,0
2,1,elo,0.4909090909,0,1,0,50.41289488
2,1,bradley_terry_davidson,0.9636363636,1,1,0,0.4319936606
2,1,rasch,0.9272727273,1,1,0,0.3094938022
2,1,borda,0.9636363636,1,1,0,168.85
2,1,pagerank,0.9636363636,1,1,0,0.004683520151
2,2,avg,1,1,1,0,0.0597
2,2,bayes,1,1,1,0,0.02985
2,2,pass_at_k_4capn,0.9636363636,1,1,0,0.0618
2,2,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0576
2,2,mg_pass_at_k_4capn,1,1,1,0,0.0576
2,2,elo,0.7090909091,1,0,0,51.23090371
2,2,bradley_terry_davidson,1,1,1,0,0.4102169098
2,2,rasch,1,1,1,0,0.3016803808
2,2,borda,1,1,1,0,239.95
2,2,pagerank,1,1,1,0,0.004550440033
2,4,avg,0.9908673886,1,1,1,0.05785
2,4,bayes,0.9908673886,1,1,1,0.03856666667
2,4,pass_at_k_4capn,0.9636363636,1,1,0,0.0434
2,4,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0716
2,4,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0572
2,4,elo,0.4909090909,0,0,0,48.77085941
2,4,bradley_terry_davidson,0.9636363636,1,1,0,0.38937477
2,4,rasch,1,1,1,0,0.2937366128
2,4,borda,0.9636363636,1,1,0,305.25
2,4,pagerank,0.9908673886,1,1,1,0.004407091578
2,8,avg,1,1,1,0,0.05705
2,8,bayes,1,1,1,0,0.04564
2,8,pass_at_k_4capn,0.9636363636,1,1,0,0.04387142857
2,8,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.06977142857
2,8,mg_pass_at_k_4capn,1,1,1,0,0.05697857143
2,8,elo,0.6727272727,0,0,0,33.70287579
2,8,bradley_terry_davidson,1,1,1,0,0.3951188644
2,8,rasch,1,1,1,0,0.2927498006
2,8,borda,1,1,1,0,362.75
2,8,pagerank,1,1,1,0,0.004334023675
2,16,avg,1,1,1,0,0.0569125
2,16,bayes,1,1,1,0,0.05058888889
2,16,pass_at_k_4capn,0.9636363636,1,1,0,0.04291208791
2,16,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07003769231
2,16,mg_pass_at_k_4capn,1,1,1,0,0.05752494505
2,16,elo,0.7454545455,1,0,0,40.03828657
2,16,bradley_terry_davidson,1,1,1,0,0.4034128376
2,16,rasch,1,1,1,0,0.2933472237
2,16,borda,0.9636363636,1,1,0,404.95
