seed,N,method,kendall_tau_b,spearman_rho,top1_correct,top3_set_correct,mean_abs_rank_error,recovered_true_tie
1,1,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,elo,0.6972770512,0.8018244037,1,0,1.363636364,0
1,1,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,1,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,elo,0.7706746356,0.9020524542,0,0,1,0
1,2,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,2,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,elo,0.6238794669,0.7972685833,0,0,1.545454545,0
1,4,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,4,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,elo,0.6972770512,0.851938429,0,0,1.545454545,0
1,8,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,8,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,elo,0.4403855061,0.6013683028,0,0,2.454545455,0
1,16,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,16,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,elo,0.7339758434,0.8747175314,1,0,1.363636364,0
1,32,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
1,32,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,elo,0.6238794669,0.7289312761,1,0,1.363636364,0
2,1,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,rasch,0.9541685964,0.9886130432,1,1,0.2727272727,0
2,1,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,1,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,elo,0.5137830904,0.660593969,0,0,2.090909091,0
2,2,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,2,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,elo,0.5871806747,0.7289312761,1,0,1.727272727,0
2,4,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,bradley_terry_davidson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,thompson,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,rasch,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,borda,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,pagerank,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,4,plackett_luce,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,avg,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,bayes,0.9908673886,0.9977246842,1,1,0.09090909091,0
2,8,elo,0.7706746356,0.8747175314,1,0,1.181818182,0
2,8,glicko,0.9908673886,0.9977246842,1,1,0.09090909091,0
