method,L,M,N,wall_time_mean_s,wall_time_std_s,memory_mean_bytes,success_rate
alpharank,4,100,1,0.0002321895,0.0001109225,112352,1
alpharank,4,100,4,0.000161255,3.0336e-05,133952,1
alpharank,4,500,1,0.000158375,1.142e-06,142080,1
alpharank,4,500,4,0.0001758865,1.8385e-06,233760,1
alpharank,4,1000,1,0.0002808995,3.2765e-06,171008,1
alpharank,4,1000,4,0.0001835875,1.1125e-06,362336,1
alpharank,8,100,1,0.000221281,2.32e-07,248736,1
alpharank,8,100,4,0.000194618,8.6e-08,286752,1
alpharank,8,500,1,0.0004022355,3.61075e-05,300320,1
alpharank,8,500,4,0.0003142705,2.6445e-06,495520,1
alpharank,8,1000,1,0.000821311,3.796e-06,364704,1
alpharank,8,1000,4,0.000434357,6.331e-06,752544,1
alpharank,16,100,1,0.0004617205,4.60885e-05,459120,1
alpharank,16,100,4,0.0004086475,1.03235e-05,531312,1
alpharank,16,500,1,0.0009913385,1.19385e-05,546640,1
alpharank,16,500,4,0.0013797075,0.0004066085,963280,1
alpharank,16,1000,1,0.001750904,5.793e-06,702384,1
alpharank,16,1000,4,0.0020549385,0.0005065215,1461168,1
avg,4,100,1,0.000163129,8.2207e-05,100272,1
avg,4,100,4,0.000146115,4.8869e-05,194480,1
avg,4,500,1,0.0002179745,6.42915e-05,444816,1
avg,4,500,4,0.0003888675,0.0001305475,923792,1
avg,4,1000,1,0.0003804025,0.0001407265,875152,1
avg,4,1000,4,0.0007138005,0.0002142795,1835152,1
avg,8,100,1,0.000137928,5.5428e-05,199024,1
avg,8,100,4,0.000637341,0.000490011,387440,1
avg,8,500,1,0.000631515,0.000392244,888112,1
avg,8,500,4,0.0008843535,0.0004147035,1846064,1
avg,8,1000,1,0.000551478,0.000149979,1748784,1
avg,8,1000,4,0.001220315,0.000384751,3668784,1
avg,16,100,1,0.0005803835,0.0004048695,396720,1
avg,16,100,4,0.000260439,7.122e-06,773456,1
avg,16,500,1,0.0004221005,5.8815e-06,1774896,1
avg,16,500,4,0.0008110405,8.5145e-06,3690608,1
avg,16,1000,1,0.000722931,1.9314e-05,3496240,1
avg,16,1000,4,0.0015135825,6.82165e-05,7336048,1
bayes,4,100,1,0.0001112895,3.73735e-05,76656,1
bayes,4,100,4,7.52185e-05,3.5215e-06,114608,1
bayes,4,500,1,0.0001319515,2.395e-07,344976,1
bayes,4,500,4,0.0001915815,1.8575e-06,536720,1
bayes,4,1000,1,0.000208794,4.322e-06,680080,1
bayes,4,1000,4,0.0004056825,1.58975e-05,1064080,1
bayes,8,100,1,6.58535e-05,1.7425e-06,151792,1
bayes,8,100,4,8.93915e-05,6.7145e-06,227696,1
bayes,8,500,1,0.000192308,1.2752e-05,688432,1
bayes,8,500,4,0.0002951305,4.125e-07,1071920,1
bayes,8,1000,1,0.0003183805,2.10355e-05,1358640,1
bayes,8,1000,4,0.0004805155,1.72165e-05,2126640,1
bayes,16,100,1,0.0001219705,1.46855e-05,302256,1
bayes,16,100,4,0.000185752,2.5988e-05,454064,1
bayes,16,500,1,0.000342385,2.8632e-05,1375440,1
bayes,16,500,4,0.0005313865,1.965e-07,2142320,1
bayes,16,1000,1,0.000604424,8.752e-06,2715952,1
bayes,16,1000,4,0.0008860445,9.6955e-06,4251760,1
borda,4,100,1,0.000185888,0.000141601,50104,1
borda,4,100,4,0.000161879,8.9507e-05,69304,1
borda,4,500,1,0.00015677,2.9023e-05,242104,1
borda,4,500,4,0.000226302,1.4638e-05,338104,1
borda,4,1000,1,0.0003278165,5.21995e-05,482104,1
borda,4,1000,4,0.0002793815,2.03335e-05,674104,1
borda,8,100,1,0.0001217295,6.36875e-05,72952,1
borda,8,100,4,0.000127619,5.8825e-05,111352,1
borda,8,500,1,0.0002005205,2.37915e-05,354552,1
borda,8,500,4,0.0004822425,3.53245e-05,546552,1
borda,8,1000,1,0.0005128325,1.76705e-05,706552,1
borda,8,1000,4,0.0004142505,8.5185e-06,1090552,1
borda,16,100,1,0.0001400665,2.69315e-05,118840,1
borda,16,100,4,0.000171358,2.2917e-05,195640,1
borda,16,500,1,0.0003518605,6.8105e-06,579640,1
borda,16,500,4,0.00078154,2.1651e-05,963448,1
borda,16,1000,1,0.00059369,2.0331e-05,1155544,1
borda,16,1000,4,0.000973772,1.3307e-05,1923448,1
bradley_terry,4,100,1,0.000342435,0.000227944,93680,1
bradley_terry,4,100,4,0.000161205,2.6581e-05,197648,1
bradley_terry,4,500,1,0.000373384,2.7916e-05,204432,1
bradley_terry,4,500,4,0.0002966125,2.59785e-05,351792,1
bradley_terry,4,1000,1,0.000233875,1.5652e-05,290528,1
bradley_terry,4,1000,4,0.000671267,6.381e-05,951440,1
bradley_terry,8,100,1,0.0004320685,7.71985e-05,219696,1
bradley_terry,8,100,4,0.0008138225,0.0003732195,544560,1
bradley_terry,8,500,1,0.0008283235,0.0001984905,526704,1
bradley_terry,8,500,4,0.0021444225,0.0002926075,1552240,1
bradley_terry,8,1000,1,0.001338555,0.000383024,913712,1
bradley_terry,8,1000,4,0.0029391315,4.50035e-05,2104560,1
bradley_terry,16,100,1,0.005283128,0.001233145,1627960,1
bradley_terry,16,100,4,0.012118376,0.000268762,3639448,1
bradley_terry,16,500,1,0.0112721415,0.0001151395,3645752,1
bradley_terry,16,500,4,0.013890105,0.000300073,4146584,1
bradley_terry,16,1000,1,0.0122811875,0.0002274915,3850168,1
bradley_terry,16,1000,4,0.0161224575,0.0001151465,4707736,1
elo,4,100,1,0.000122808,4.4791e-05,8368,1
elo,4,100,4,0.00010772,4.444e-06,27568,1
elo,4,500,1,0.0001728325,1.0785e-06,33968,1
elo,4,500,4,0.000419931,5.307e-06,129968,1
elo,4,1000,1,0.000384281,0.000136237,65968,1
elo,4,1000,4,0.0008073835,2.37115e-05,257968,1
elo,8,100,1,0.000121329,4.13e-07,15216,1
elo,8,100,4,0.0003428475,1.9465e-06,53616,1
elo,8,500,1,0.0009666205,1.08935e-05,66416,1
elo,8,500,4,0.001607378,2.471e-05,258416,1
elo,8,1000,1,0.000845289,1.2458e-05,130416,1
elo,8,1000,4,0.003213795,4.1493e-05,514416,1
elo,16,100,1,0.000687842,0.000132605,29104,1
elo,16,100,4,0.0016448415,2.45115e-05,105904,1
elo,16,500,1,0.001894018,4.456e-06,131504,1
elo,16,500,4,0.0076176905,0.0001456225,515504,1
elo,16,1000,1,0.003840098,7.7103e-05,259504,1
elo,16,1000,4,0.0156973855,0.0003507195,1027504,1
kemeny_young,4,100,1,0.0766947665,0.0114379565,753400,1
kemeny_young,4,100,4,0.0762553545,0.0003778685,772600,1
kemeny_young,4,500,1,0.089261471,0.01789539,791800,1
kemeny_young,4,500,4,0.0797748065,0.0028368575,887800,1
kemeny_young,4,1000,1,0.113476436,0.018581363,839800,1
kemeny_young,4,1000,4,0.07003186,0.003164412,1031800,1
kemeny_young,8,100,1,0.422767271,0.017089429,11564648,1
kemeny_young,8,100,4,0.375609468,0.019150778,11603048,1
kemeny_young,8,500,1,0.363564441,0.022572774,11641448,1
kemeny_young,8,500,4,0.342827494,0.010160059,11833448,1
kemeny_young,8,1000,1,0.3834298245,0.0481588505,11737448,1
kemeny_young,8,1000,4,0.3373481575,0.0040566715,12121448,1
pagerank,4,100,1,0.0001086835,6.64335e-05,14352,1
pagerank,4,100,4,7.72055e-05,1.72525e-05,33408,1
pagerank,4,500,1,9.9519e-05,5.357e-06,39808,1
pagerank,4,500,4,0.0001012085,1.275e-07,135808,1
