method,n,metric,mean,std
avg,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
avg,1,top1_match,1,0
avg,1,top3_set_match,0.9,0.3
avg,1,n_adjacent_ties,0,0
avg,1,mean_adjacent_score_gap,0.05754,0.00175738442
avg,2,kendall_tau_b_to_reference,0.9781818182,0.01781447086
avg,2,top1_match,1,0
avg,2,top3_set_match,1,0
avg,2,n_adjacent_ties,0,0
avg,2,mean_adjacent_score_gap,0.0567,0.00161369142
avg,4,kendall_tau_b_to_reference,0.977268557,0.01688225074
avg,4,top1_match,1,0
avg,4,top3_set_match,1,0
avg,4,n_adjacent_ties,0.1,0.3
avg,4,mean_adjacent_score_gap,0.056295,0.001224428438
avg,8,kendall_tau_b_to_reference,0.9927272727,0.01454545455
avg,8,top1_match,1,0
avg,8,top3_set_match,1,0
avg,8,n_adjacent_ties,0,0
avg,8,mean_adjacent_score_gap,0.056565,0.0009557196242
avg,16,kendall_tau_b_to_reference,0.9854545455,0.01781447086
avg,16,top1_match,1,0
avg,16,top3_set_match,1,0
avg,16,n_adjacent_ties,0,0
avg,16,mean_adjacent_score_gap,0.0565,0.0007869442483
avg,32,kendall_tau_b_to_reference,0.9890909091,0.01666391162
avg,32,top1_match,1,0
avg,32,top3_set_match,1,0
avg,32,n_adjacent_ties,0,0
avg,32,mean_adjacent_score_gap,0.056795625,0.000455907834
bayes,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
bayes,1,top1_match,1,0
bayes,1,top3_set_match,0.9,0.3
bayes,1,n_adjacent_ties,0,0
bayes,1,mean_adjacent_score_gap,0.01918,0.0005857948067
bayes,2,kendall_tau_b_to_reference,0.9781818182,0.01781447086
bayes,2,top1_match,1,0
bayes,2,top3_set_match,1,0
bayes,2,n_adjacent_ties,0,0
bayes,2,mean_adjacent_score_gap,0.02835,0.0008068457102
bayes,4,kendall_tau_b_to_reference,0.977268557,0.01688225074
bayes,4,top1_match,1,0
bayes,4,top3_set_match,1,0
bayes,4,n_adjacent_ties,0.1,0.3
bayes,4,mean_adjacent_score_gap,0.03753,0.0008162856254
bayes,8,kendall_tau_b_to_reference,0.9927272727,0.01454545455
bayes,8,top1_match,1,0
bayes,8,top3_set_match,1,0
bayes,8,n_adjacent_ties,0,0
bayes,8,mean_adjacent_score_gap,0.045252,0.0007645756993
bayes,16,kendall_tau_b_to_reference,0.9854545455,0.01781447086
bayes,16,top1_match,1,0
bayes,16,top3_set_match,1,0
bayes,16,n_adjacent_ties,0,0
bayes,16,mean_adjacent_score_gap,0.05022222222,0.0006995059985
bayes,32,kendall_tau_b_to_reference,0.9890909091,0.01666391162
bayes,32,top1_match,1,0
bayes,32,top3_set_match,1,0
bayes,32,n_adjacent_ties,0,0
bayes,32,mean_adjacent_score_gap,0.05345470588,0.0004290897261
borda,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
borda,1,top1_match,1,0
borda,1,top3_set_match,0.9,0.3
borda,1,n_adjacent_ties,0,0
borda,1,mean_adjacent_score_gap,158.235,4.832807155
borda,2,kendall_tau_b_to_reference,0.9781818182,0.01781447086
borda,2,top1_match,1,0
borda,2,top3_set_match,1,0
borda,2,n_adjacent_ties,0,0
borda,2,mean_adjacent_score_gap,227.145,5.894932145
borda,4,kendall_tau_b_to_reference,0.9745454545,0.01666391162
borda,4,top1_match,1,0
borda,4,top3_set_match,1,0
borda,4,n_adjacent_ties,0,0
borda,4,mean_adjacent_score_gap,296.2,6.181545114
borda,8,kendall_tau_b_to_reference,0.9890909091,0.01666391162
borda,8,top1_match,1,0
borda,8,top3_set_match,1,0
borda,8,n_adjacent_ties,0,0
borda,8,mean_adjacent_score_gap,357.465,5.470285642
borda,16,kendall_tau_b_to_reference,0.9781818182,0.01781447086
borda,16,top1_match,1,0
borda,16,top3_set_match,1,0
borda,16,n_adjacent_ties,0,0
borda,16,mean_adjacent_score_gap,400.545,3.972118452
borda,32,kendall_tau_b_to_reference,0.9818181818,0.01818181818
borda,32,top1_match,1,0
borda,32,top3_set_match,1,0
borda,32,n_adjacent_ties,0,0
borda,32,mean_adjacent_score_gap,433.43,2.005268062
bradley_terry_davidson,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
bradley_terry_davidson,1,top1_match,1,0
bradley_terry_davidson,1,top3_set_match,0.9,0.3
bradley_terry_davidson,1,n_adjacent_ties,0,0
bradley_terry_davidson,1,mean_adjacent_score_gap,0.4053205715,0.02768168708
bradley_terry_davidson,2,kendall_tau_b_to_reference,0.9781818182,0.01781447086
bradley_terry_davidson,2,top1_match,1,0
bradley_terry_davidson,2,top3_set_match,1,0
bradley_terry_davidson,2,n_adjacent_ties,0,0
bradley_terry_davidson,2,mean_adjacent_score_gap,0.3952737816,0.02098341931
bradley_terry_davidson,4,kendall_tau_b_to_reference,0.9745454545,0.01666391162
bradley_terry_davidson,4,top1_match,1,0
bradley_terry_davidson,4,top3_set_match,1,0
bradley_terry_davidson,4,n_adjacent_ties,0,0
bradley_terry_davidson,4,mean_adjacent_score_gap,0.3915614559,0.01763257672
bradley_terry_davidson,8,kendall_tau_b_to_reference,0.9927272727,0.01454545455
bradley_terry_davidson,8,top1_match,1,0
bradley_terry_davidson,8,top3_set_match,1,0
bradley_terry_davidson,8,n_adjacent_ties,0,0
bradley_terry_davidson,8,mean_adjacent_score_gap,0.3984656359,0.01398523299
bradley_terry_davidson,16,kendall_tau_b_to_reference,0.9854545455,0.01781447086
bradley_terry_davidson,16,top1_match,1,0
bradley_terry_davidson,16,top3_set_match,1,0
bradley_terry_davidson,16,n_adjacent_ties,0,0
bradley_terry_davidson,16,mean_adjacent_score_gap,0.3987020122,0.01232988819
bradley_terry_davidson,32,kendall_tau_b_to_reference,0.9890909091,0.01666391162
bradley_terry_davidson,32,top1_match,1,0
bradley_terry_davidson,32,top3_set_match,1,0
bradley_terry_davidson,32,n_adjacent_ties,0,0
bradley_terry_davidson,32,mean_adjacent_score_gap,0.4041230398,0.005549420814
elo,1,kendall_tau_b_to_reference,0.5854545455,0.1272207686
elo,1,top1_match,0.4,0.4898979486
elo,1,top3_set_match,0.2,0.4
elo,1,n_adjacent_ties,0,0
elo,1,mean_adjacent_score_gap,48.92842759,9.524603828
elo,2,kendall_tau_b_to_reference,0.6109090909,0.09898660065
elo,2,top1_match,0.4,0.4898979486
elo,2,top3_set_match,0.1,0.3
elo,2,n_adjacent_ties,0,0
elo,2,mean_adjacent_score_gap,44.18930914,10.9939188
elo,4,kendall_tau_b_to_reference,0.5927272727,0.1038753226
elo,4,top1_match,0.4,0.4898979486
elo,4,top3_set_match,0.1,0.3
elo,4,n_adjacent_ties,0,0
elo,4,mean_adjacent_score_gap,51.09647869,11.32790185
elo,8,kendall_tau_b_to_reference,0.6472727273,0.09764161151
elo,8,top1_match,0.3,0.4582575695
elo,8,top3_set_match,0.2,0.4
elo,8,n_adjacent_ties,0,0
elo,8,mean_adjacent_score_gap,48.63152669,10.65254284
elo,16,kendall_tau_b_to_reference,0.6,0.1227777674
elo,16,top1_match,0.3,0.4582575695
elo,16,top3_set_match,0.1,0.3
elo,16,n_adjacent_ties,0,0
elo,16,mean_adjacent_score_gap,44.83762358,9.875115909
elo,32,kendall_tau_b_to_reference,0.5890909091,0.1490909091
elo,32,top1_match,0.2,0.4
elo,32,top3_set_match,0.1,0.3
elo,32,n_adjacent_ties,0,0
elo,32,mean_adjacent_score_gap,46.78991847,10.02046867
g_pass_at_k_tau_4capn_0.75,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
g_pass_at_k_tau_4capn_0.75,1,top1_match,1,0
g_pass_at_k_tau_4capn_0.75,1,top3_set_match,0.9,0.3
g_pass_at_k_tau_4capn_0.75,1,n_adjacent_ties,0,0
g_pass_at_k_tau_4capn_0.75,1,mean_adjacent_score_gap,0.05754,0.00175738442
g_pass_at_k_tau_4capn_0.75,2,kendall_tau_b_to_reference,0.9818181818,0.01818181818
g_pass_at_k_tau_4capn_0.75,2,top1_match,1,0
g_pass_at_k_tau_4capn_0.75,2,top3_set_match,1,0
g_pass_at_k_tau_4capn_0.75,2,n_adjacent_ties,0,0
g_pass_at_k_tau_4capn_0.75,2,mean_adjacent_score_gap,0.05638,0.001603620903
g_pass_at_k_tau_4capn_0.75,4,kendall_tau_b_to_reference,0.9781818182,0.01781447086
g_pass_at_k_tau_4capn_0.75,4,top1_match,1,0
g_pass_at_k_tau_4capn_0.75,4,top3_set_match,1,0
g_pass_at_k_tau_4capn_0.75,4,n_adjacent_ties,0,0
g_pass_at_k_tau_4capn_0.75,4,mean_adjacent_score_gap,0.07032,0.002259557479
g_pass_at_k_tau_4capn_0.75,8,kendall_tau_b_to_reference,0.9890909091,0.01666391162
g_pass_at_k_tau_4capn_0.75,8,top1_match,1,0
g_pass_at_k_tau_4capn_0.75,8,top3_set_match,1,0
g_pass_at_k_tau_4capn_0.75,8,n_adjacent_ties,0,0
g_pass_at_k_tau_4capn_0.75,8,mean_adjacent_score_gap,0.06962228571,0.001571576513
g_pass_at_k_tau_4capn_0.75,16,kendall_tau_b_to_reference,0.9818181818,0.01818181818
g_pass_at_k_tau_4capn_0.75,16,top1_match,1,0
g_pass_at_k_tau_4capn_0.75,16,top3_set_match,1,0
g_pass_at_k_tau_4capn_0.75,16,n_adjacent_ties,0,0
g_pass_at_k_tau_4capn_0.75,16,mean_adjacent_score_gap,0.06953554945,0.001206677582
