method,N,metric,mean,std
avg,1,kendall_tau_b,0.9792616526,0.02010172448
avg,1,spearman_rho,0.9948688556,0.004946440204
avg,1,top1_correct,1,0
avg,1,top3_set_correct,1,0
avg,1,mean_abs_rank_error,0.1590909091,0.1180943732
avg,1,recovered_true_tie,0,0
avg,2,kendall_tau_b,0.9908673886,0
avg,2,spearman_rho,0.9977246842,0
avg,2,top1_correct,1,0
avg,2,top3_set_correct,1,0
avg,2,mean_abs_rank_error,0.09090909091,0
avg,2,recovered_true_tie,0,0
avg,4,kendall_tau_b,0.9908673886,0
avg,4,spearman_rho,0.9977246842,0
avg,4,top1_correct,1,0
avg,4,top3_set_correct,1,0
avg,4,mean_abs_rank_error,0.09090909091,0
avg,4,recovered_true_tie,0,0
avg,8,kendall_tau_b,0.9908673886,0
avg,8,spearman_rho,0.9977246842,0
avg,8,top1_correct,1,0
avg,8,top3_set_correct,1,0
avg,8,mean_abs_rank_error,0.09090909091,0
avg,8,recovered_true_tie,0,0
avg,16,kendall_tau_b,0.9908673886,0
avg,16,spearman_rho,0.9977246842,0
avg,16,top1_correct,1,0
avg,16,top3_set_correct,1,0
avg,16,mean_abs_rank_error,0.09090909091,0
avg,16,recovered_true_tie,0,0
avg,32,kendall_tau_b,0.9908673886,0
avg,32,spearman_rho,0.9977246842,0
avg,32,top1_correct,1,0
avg,32,top3_set_correct,1,0
avg,32,mean_abs_rank_error,0.09090909091,0
avg,32,recovered_true_tie,0,0
bayes,1,kendall_tau_b,0.9792616526,0.02010172448
bayes,1,spearman_rho,0.9948688556,0.004946440204
bayes,1,top1_correct,1,0
bayes,1,top3_set_correct,1,0
bayes,1,mean_abs_rank_error,0.1590909091,0.1180943732
bayes,1,recovered_true_tie,0,0
bayes,2,kendall_tau_b,0.9908673886,0
bayes,2,spearman_rho,0.9977246842,0
bayes,2,top1_correct,1,0
bayes,2,top3_set_correct,1,0
bayes,2,mean_abs_rank_error,0.09090909091,0
bayes,2,recovered_true_tie,0,0
bayes,4,kendall_tau_b,0.9908673886,0
bayes,4,spearman_rho,0.9977246842,0
bayes,4,top1_correct,1,0
bayes,4,top3_set_correct,1,0
bayes,4,mean_abs_rank_error,0.09090909091,0
bayes,4,recovered_true_tie,0,0
